Name,Capital,continent
Akrotiri and Dhekelia,Episkopi Cantonment,Asia
Armenia,Yerevan,Asia
Artsakh,Stepanakert,Asia
Azerbaijan,Baku,Asia
Bahrain,Manama,Asia
Bangladesh,Dhaka,Asia
Bhutan,Thimphu,Asia
British Indian Ocean Territory,Diego Garcia,Asia
Brunei,Bandar Seri Begawan,Asia
Cambodia,Phnom Penh,Asia
China,Beijing,Asia
Christmas Island,Flying Fish Cove,Asia
Cocos (Keeling) Islands,West Island,Asia
Cyprus,Nicosia,Asia
East Timor (Timor-Leste),Dili,Asia
Georgia,Tbilisi,Asia
Hong Kong,—,Asia
India,New Delhi,Asia
Indonesia,Jakarta,Asia
Iran,Tehran,Asia
Iraq,Baghdad,Asia
Israel,Jerusalem,Asia
Japan,Tokyo,Asia
Jordan,Amman,Asia
Kazakhstan,Astana,Asia
Kuwait,Kuwait City,Asia
Kyrgyzstan,Bishkek,Asia
Laos,Vientiane,Asia
Lebanon,Beirut,Asia
Macau,—,Asia
Malaysia,Kuala Lumpur (official) Putrajaya (seat of government),Asia
Maldives,Malé,Asia
Mongolia,Ulaanbaatar,Asia
Myanmar (Burma),Naypyidaw,Asia
Nepal,Kathmandu,Asia
Northern Cyprus,North Nicosia,Asia
North Korea,Pyongyang,Asia
Oman,Muscat,Asia
Pakistan,Islamabad,Asia
Palestine,East Jerusalem (claimed capital),Asia
Philippines,Manila,Asia
Qatar,Doha,Asia
Saudi Arabia,Riyadh,Asia
Singapore,Singapore,Asia
South Korea,Seoul,Asia
South Ossetia,Tskhinvali,Asia
Sri Lanka,Sri Jayawardenapura Kotte,Asia
Syria,Damascus,Asia
Taiwan,Taipei,Asia
Tajikistan,Dushanbe,Asia
Thailand,Bangkok,Asia
Turkey,Ankara,Asia
Turkmenistan,Ashgabat,Asia
United Arab Emirates,Abu Dhabi,Asia
Uzbekistan,Tashkent,Asia
Vietnam,Hanoi,Asia
Yemen,Sana'a,Asia
American Samoa,Pago Pago,Oceania
Ashmore and Cartier Islands,—,Oceania
Australia,Canberra,Oceania
Baker Island,—,Oceania
Cook Islands,Avarua,Oceania
Coral Sea Islands,—,Oceania
Easter Island,—,Oceania
Fiji,Suva,Oceania
French Polynesia,Papeete,Oceania
Guam,Hagåtña,Oceania
Howland Island,—,Oceania
Jarvis Island,—,Oceania
Johnston Atoll,—,Oceania
Kingman Reef,—,Oceania
Kiribati,South Tarawa,Oceania
Marshall Islands,Majuro,Oceania
Micronesia,Palikir,Oceania
Midway Atoll,—,Oceania
Nauru,Yaren (seat of government),Oceania
New Caledonia,Nouméa,Oceania
New Zealand,Wellington,Oceania
Niue,Alofi,Oceania
Norfolk Island,Kingston,Oceania
Northern Mariana Islands,Saipan,Oceania
Palau,Ngerulmud,Oceania
Palmyra Atoll,—,Oceania
Papua New Guinea,Port Moresby,Oceania
Pitcairn Islands,Adamstown,Oceania
Samoa,Apia,Oceania
Solomon Islands,Honiara,Oceania
Tokelau,"Nukunonu (main settlement, although each atoll has its own administrative centre)",Oceania
Tonga,Nukuʻalofa,Oceania
Tuvalu,Funafuti,Oceania
Vanuatu,Port Vila,Oceania
Wake Island,—,Oceania
Wallis and Futuna,Mata-Utu,Oceania
Åland Islands,Mariehamn,Europe
Albania,Tirana,Europe
Andorra,Andorra la Vella,Europe
Austria,Vienna,Europe
Belarus,Minsk,Europe
Belgium,Brussels,Europe
Bosnia and Herzegovina,Sarajevo,Europe
Bulgaria,Sofia,Europe
Croatia,Zagreb,Europe
Czech Republic,Prague,Europe
Denmark,Copenhagen,Europe
Estonia,Tallinn,Europe
Faroe Islands,Tórshavn,Europe
Finland,Helsinki,Europe
France,Paris,Europe
Germany,Berlin,Europe
Gibraltar,Gibraltar,Europe
Greece,Athens,Europe
Guernsey,Saint Peter Port,Europe
Hungary,Budapest,Europe
Iceland,Reykjavík,Europe
Ireland,Dublin,Europe
Isle of Man,Douglas,Europe
Italy,Rome,Europe
Jersey,Saint Helier,Europe
Kosovo,Pristina,Europe
Latvia,Riga,Europe
Liechtenstein,Vaduz,Europe
Lithuania,Vilnius,Europe
Luxembourg,Luxembourg,Europe
Macedonia,Skopje,Europe
Malta,Valletta,Europe
Moldova,Chişinău,Europe
Monaco,Monaco,Europe
Montenegro,Podgorica,Europe
Netherlands,Amsterdam,Europe
Norway,Oslo,Europe
Poland,Warsaw,Europe
Portugal,Lisbon,Europe
Romania,Bucharest,Europe
Russia,Moscow,Europe
San Marino,San Marino,Europe
Serbia,Belgrade,Europe
Slovakia,Bratislava,Europe
Slovenia,Ljubljana,Europe
Spain,Madrid,Europe
Svalbard,Longyearbyen,Europe
Sweden,Stockholm,Europe
Switzerland,Bern,Europe
Transnistria,Tiraspol,Europe
Ukraine,Kiev,Europe
United Kingdom,London,Europe
Vatican City/Holy See,Vatican City,Europe
